cen_x,cen_y,xmin,ymin,xmax,ymax
969,282,956.5684,272.0858,982.6816,292.1005
1166,619,1106.8547,565.8849,1226.3138,674.0802
950,541,907.37054,504.69348,994.4773,578.1342
1525,395,1491.5309,374.73126,1558.7274,417.02258
997,287,979.97125,273.12543,1014.76904,302.52393
1488,582,1425.756,538.491,1551.5953,627.02405
872,179,851.4184,169.60518,892.87634,188.57938
1170,292,1156.3489,282.75842,1183.9155,301.47568
1023,288,1007.911,279.7223,1038.9021,298.2411
1417,232,1395.7493,217.88791,1439.3695,247.14761
1090,518,1045.1377,485.96323,1135.9727,551.2905
553,467,517.3765,437.90454,590.25836,496.25186
1837,741,1755.8076,677.5629,1919.9532,805.05316
1548,396,1514.6278,376.64026,1582.7755,416.90863
437,640,377.686,595.379,497.2101,686.60565
998,401,970.0986,377.95715,1026.3923,425.41174
1499,505,1450.927,467.29428,1548.333,542.71594
658,377,630.65515,357.72324,686.60547,397.51163
907,454,872.1137,418.38776,943.4767,490.78632
943,289,924.6837,276.40372,961.8036,302.8586
1539,258,1511.4999,241.9218,1566.5568,274.19406
1836,362,1794.2311,340.51016,1879.0887,384.38727
1115,327,1100.1057,312.22372,1131.5271,342.61737
1456,236,1436.8412,224.71759,1475.5464,247.93411
1159,319,1143.855,306.24774,1175.1436,333.6414
1875,513,1830.3396,468.05618,1919.9475,559.82587
1902,396,1881.9788,373.73444,1922.2811,419.18936
783,292,765.57477,279.80362,801.7337,305.16983
1018,265,1006.1541,257.14813,1031.6941,274.607
1168,283,1152.8353,275.1875,1183.4888,292.8021
1660,304,1622.7422,283.2902,1697.9879,326.0447
1316,412,1301.9178,390.3291,1330.3992,434.8291
1264,288,1245.2858,275.02783,1283.4712,301.46802
1874,514,1829.7098,467.69955,1919.6187,560.3932
1136,280,1123.6251,270.67963,1149.8722,290.0838
1622,277,1596.6694,260.89764,1648.6649,293.54138
1499,504,1450.8761,467.54358,1548.5764,542.2445
761,186,747.5849,178.32018,774.71185,194.39503
1131,279,1120.5021,269.03674,1142.2861,289.15308
898,434,866.65106,404.94186,930.26965,463.0633
1116,553,1067.6565,511.41742,1166.2699,595.1742
1281,316,1268.1914,303.45468,1294.1401,329.57535
1074,261,1059.8011,250.54605,1088.7511,271.9817
1163,288,1150.1948,280.28345,1176.4446,296.97293
873,178,851.90845,167.18971,894.47644,190.10365
1203,261,1192.0698,251.69443,1215.9264,271.4575
1339,327,1321.2092,313.22375,1357.3124,341.5265
1338,323,1318.7739,309.59018,1358.5378,337.2636
1019,653,958.4575,604.0203,1081.1344,703.38184
1504,589,1439.9694,544.47186,1569.0242,633.6393
972,382,946.88385,360.23328,997.4374,404.43204
604,415,577.31036,391.24493,630.8595,439.13428
162,993,43.12675,911.09045,280.88583,1076.3684
913,304,896.3735,291.9328,930.6709,317.60162
968,283,952.9674,271.74445,983.3136,294.73135
680,326,657.09784,297.04623,704.55695,356.0734
753,309,732.3903,291.5179,774.6741,327.33353
793,293,775.11993,282.75418,811.50726,303.76797
871,273,854.6837,261.30716,889.2741,284.97333
753,308,731.6073,291.19214,775.2065,326.62677
161,993,42.78189,911.0802,280.98465,1075.8547
914,259,897.7864,245.86661,930.86096,273.1269
140,457,118.42063,445.80908,162.68243,469.58975
163,993,44.444283,910.97797,281.61487,1076.1177
872,179,852.4976,168.76768,893.2377,189.23865
680,326,657.0032,297.05655,704.4404,356.10315
390,790,317.80045,724.3836,463.05145,857.50323
1414,441,1354.5168,385.00922,1474.58,498.41833
1685,447,1641.0782,420.7294,1729.9324,473.53607
1168,384,1139.7716,364.5073,1196.5785,405.34576
1763,352,1724.3475,331.5131,1802.2776,373.0924
